,comment,label
0,how did serfdom develop in and then leave russia ?,unknown
1,what films featured the character popeye doyle ?,what
2,how can i find a list of celebrities ' real names ?,unknown
3,what fowl grabs the spotlight after the chinese year of the monkey ?,what
4,what is the full form of .com ?,what
5,what contemptible scoundrel stole the cork from my lunch ?,what
6,what team did baseball 's st. louis browns become ?,what
7,what is the oldest profession ?,what
8,what are liver enzymes ?,what
9,name the scar-faced bounty hunter of the old west .,unknown
10,when was ozzy osbourne born ?,when
11,why do heavier objects travel downhill faster ?,unknown
12,who was the pride of the yankees ?,who
13,who killed gandhi ?,who
14,what is considered the costliest disaster the insurance industry has ever faced ?,what
15,what sprawling u.s. state boasts the most airports ?,what
16,what did the only repealed amendment to the u.s. constitution deal with ?,what
17,how many jews were executed in concentration camps during wwii ?,unknown
18,what is `` nine inch nails '' ?,what
19,what is an annotated bibliography ?,what
20,what is the date of boxing day ?,what
21,what articles of clothing are tokens in monopoly ?,what
22,name 11 famous martyrs .,unknown
23,what 's the olympic motto ?,what
24,what is the origin of the name ` scarlett ' ?,what
25,what 's the second-most-used vowel in english ?,what
26,who was the inventor of silly putty ?,who
27,what is the highest waterfall in the united states ?,what
28,name a golf course in myrtle beach .,unknown
29,which two states enclose chesapeake bay ?,unknown
30,what does the abbreviation aids stand for ?,what
31,what does a spermologer collect ?,what
32,how many points make up a perfect fivepin bowling score ?,unknown
33,which company that manufactures video-game hardware sells the `` super system '' ?,unknown
34,how many community chest cards are there in monopoly ?,unknown
35,what do mormons believe ?,what
36,when did the neanderthal man live ?,when
37,in what religion was isis the nature goddess ?,what
38,where do the adventures of `` the swiss family robinson '' take place ?,unknown
39,what relative of the racoon is sometimes known as the cat-bear ?,what
40,how can i register my website in yahoo for free ?,unknown
41,what was cash-conscious colonel edwin l. drake the first to drill ?,what
42,how many people in the world speak french ?,unknown
43,how many inches over six feet is the venus de milo ?,unknown
44,how do they find or choose witnesses to an execution ?,unknown
45,what 1920s cowboy star rode tony the wonder horse ?,what
46,what cocktail inspired john doxat to write the book stirred-not shaken ?,what
47,what isps exist in the caribbean ?,what
48,how do you ask a total stranger out on a date ?,unknown
49,what weapon is the mythological character apollo most proficient with ?,what
50,what country do the galapagos islands belong to ?,what
51,what is ethology ?,what
52,who was the prophet of the muslim people ?,who
53,where did the term `` 86ed '' come from ?,unknown
54,who is snoopy 's arch-enemy ?,who
55,what is the nature of learning ?,what
56,what 's the only color johnny cash wears on stage ?,what
57,what 's the term for a young fox ?,what
58,what u.s. state lived under six flags ?,what
59,what is the kashmir issue ?,what
60,where is the loop ?,unknown
61,what does `` extended definition '' mean and how would one write a paper on it ?,what
62,what country 's capital is tirana ?,what
63,what is titanium ?,what
64,who do herb and tootsie live next door to ?,who
65,which city has the oldest relationship as a sister�city with los angeles ?,unknown
66,what is a caldera ?,what
67,why do people get calluses ?,unknown
68,what are the names of the tourist attractions in reims ?,what
69,what are cushman and wakefield known for ?,what
70,what body of water does the danube river flow into ?,what
71,who is the founder of scientology ?,who
72,what does the six-footed musca domestica become when it enters a house ?,what
73,what is the history of skateboarding ?,what
74,who starred in singing in the rain and the singing nun ?,who
75,how do i make fuel bricks from recycled newspaper ?,unknown
76,what 19th-century painter died in the marquesas islands ?,what
77,the corpus callosum is in what part of the body ?,what
78,how do i log on to home page at headquarters u.s. european command ?,unknown
79,what country did the nazis occupy for ? .,what
80,what is nebraska 's most valuable resource ?,what
81,how many species of the great white shark are there ?,unknown
82,what is the origin of head lice ?,what
83,what is the nickname for the state of mississippi ?,what
84,what was the first domesticated bird ?,what
85,how many villi are found in the small intestine ?,unknown
86,what country did king wenceslas rule ?,what
87,what is a fear of shadows ?,what
88,who were the five marx brothers ?,who
89,in which year was new zealand excluded from the anzus alliance ?,unknown
90,when did cnn begin broadcasting ?,when
91,what causes the body to shiver in cold temperatures ?,what
92,what are bear and bull markets ?,what
93,what j.r.r. tolkien book features bilbo baggins as the central character ?,what
94,what is `` dew point '' ?,what
95,what is the meaning of jesus ?,what
96,what company 's logo is a `` w '' in a circle ?,what
97,what is the definition of a cascade ?,what
98,when did rococo painting and architecture flourish ?,what
99,what country 's national passenger rail system is called via ?,what
100,who invented make-up ?,who
101,what is the origin of the word `` attic '' ?,what
102,what did delilah do to samson 's hair ?,what
103,what kind of animals were in the paleozoic era ?,what
104,which of the following was rhodes scholar ?,unknown
105,who comprised the now-defunct comic book team known as the champions ?,who
106,how do you make a paintball ?,unknown
107,what u.s. state is fort knox in ?,what
108,what is a female rabbit called ?,what
109,where is the highest point in japan ?,unknown
110,where do chihuahuas come from ?,unknown
111,where does barney rubble go to work after he drops fred off in the `` flintstones '' cartoon series ?,unknown
112,what are the world 's four oceans ?,what
113,what 's the only work by michelangelo that bears his signature ?,what
114,what is the largest snake in the world ?,what
115,in what medium is stuart hamblen considered to be the first singing cowboy ?,what
116,where on the internet can i find a song lyrics database similar to the international lyrics server ?,unknown
117,how much money does a back injury lawsuit get ?,unknown
118,what 's the common name for acetylsalicylic acid ?,what
119,what does the georgetown `` hoya '' mean ?,what
120,where can i find a list of `` classic '' books 5th and 6th graders should read ?,unknown
121,which two products use a tiger as their symbol ?,unknown
122,how is the election of a new pope announced to the world ?,unknown
123,how long does it take for your blood to make one complete trip through the body ?,unknown
124,how do chickens have baby chicks ?,unknown
125,what is the historical relationship of catholic church and bingo ?,what
126,how was the element calcium named ?,unknown
127,what crooner joined the andrews sisters for pistol packin mama ?,what
128,what piano company claims its product is the `` instrument of the immortals '' ?,what
129,when did the bounty mutiny take place ?,unknown
130,what novel inspired the movie bladerunner ?,what
131,what is a transistor ?,what
132,what is a film starring jude law ?,what
133,what hollywood dog died in the arms of jean harlow in 1932 ?,what
134,what are the most common elements in the earth 's crust ?,what
135,how much would it cost to purchase a 2-foot-square party tent  with sides  ?,unknown
136,what actress has received the most oscar nominations ?,what
137,what are equity securities ?,what
138,what is gymnophobia ?,what
139,how many years do fossils take to form ?,unknown
140,where is the orinoco ?,unknown
141,what was the name of the `` little rascals '' dog ?,what
142,what city boasts penn 's landing  on the banks of the delaware river ?,what
143,what broadway musical was inspired by cervantes 's don quixote ?,what
144,what is the origin of the word . ?,what
145,how many hostages were killed in the entebbe raid ?,unknown
146,how you can raise your iq ?,unknown
147,what does inri stand for when used on jesus ' cross ?,what
148,who produces spumante ?,who
149,who earns their money the hard way ?,who
150,who founded the people 's temple commune ?,who
151,what athlete makes the most money from sports merchandise sales ?,what
152,how many bends are there in a standard paper clip ?,unknown
153,who discovered electricity ?,who
154,what part of your body contains the corpus callosum ?,what
155,who was the first american in space ?,who
156,what two south american countries do n't border brazil ?,what
157,what album put the beatles on the cover of time in 1967 ?,what
158,what poem contains the line  `` grow old with me the best is yet to be '' . ?,what
159,what is a dental root canal ?,what
160,what war did the wanna-go-home riots occur after ?,what
161,what is the busiest air travel season ?,what
162,what 's the colored part of the eye called ?,what
163,what are hook worms ?,what
164,where is the rose bowl played ?,unknown
165,which japanese car maker had its biggest percentage of sale in the domestic market ?,unknown
166,who is the mayor of marbella ?,who
167,"what sun-blasted , 14-mile wide valley is just north of the mojave desert ?",what
168,in what year did thatcher become prime minister ?,what
169,how many months does it take the moon to revolve around the earth ?,unknown
170,where are the 49 steps ?,unknown
171,in what year was de gaulle elected president of france ?,what
172,who sings the themes for `` dawson 's creek '' and `` felicity '' ?,who
173,who directed `` jaws '' ?,who
174,on what t.v. show could tom terrific be found ?,what
175,what indian tribe is f troop perpetually doing battle with ?,what
176,where did indian pudding come from ?,unknown
177,why do some clothing labels say `` use a nonchlorine bleach '' ?,unknown
178,how many colonies were involved in the american revolution ?,unknown
179,what is the name of the city that maurizio pellegrin lives in ?,what
180,where can i find pictorial directions on how to build a very simple treehouse ?,unknown
181,"what game 's board shows the territories of irkutsk , yakutsk and kamchatka ?",unknown
182,what is the name of the managing director of apricot computer ?,unknown
183,what is the occupation of nicholas cage ?,unknown
184,why do horseshoes bring luck ?,unknown
185,"what is the 401 , k , plan ?",what
186,what causes pneumonia ?,what
187,what are the three winter months in the southern hemisphere ?,what
188,what does gringo mean ?,what
189,what country contains africa 's northernmost point ?,what
190,what therapy attempts to elicit the `` primal scream '' ?,what
191,where is the kalahari desert ?,unknown
192,which ventura county police department seized the largest cocaine shipment in it 's history ?,unknown
193,what city is sometimes called gotham ?,what
194,what dangles over the tongue from the palate ?,what
195,who created dennis the menace ?,who
196,what dummy received an honorary degree from northwestern university ?,what
197,when was the first wall street journal published ?,unknown
198,what countries have the largest areas of forest ?,what
199,how do i start a web based business ?,unknown
200,name alvin 's brothers ?,unknown
201,what is eagle 's syndrome styloid process ?,what
202,how did jayne mansfield die ?,unknown
203,when did the royal wedding of prince andrew and fergie take place ?,when
204,what actor said in a day at the races : `` either he 's dead or my watch has stopped '' ?,what
205,what explorer was nicknamed iberia 's pilot ?,what
206,cnn began broadcasting in what year ?,what
207,what is a ball that hits the foul pole called ?,what
208,what makes hamburgers taste like steakburgers ?,what
209,which company created the internet browser mosaic ?,unknown
210,what are the rites accompanying the circumcision of a newly born-child in judaism called ?,what
211,what was the education system in the 1960 's ?,what
212,what south american city has the world 's highest commercial landing field ?,what
213,how can i find out which cities have cable-modem access ?,unknown
214,what is betsy ross famous for ?,what
215,how many species of sharks are there ?,unknown
216,what is `` snoogans '' ?,what
217,how many people are there in the world ?,unknown
218,what shrubs can be planted that will be safe from deer ?,what
219,what organization 's offices were broken into at watergate in 1972 ?,what
220,what is the design of the ship titanic ?,what
221,what does s.o.s. stand for ?,what
222,name a technique widely used to detect birth defects ?,unknown
223,what is the daily requirement of folic acid for an expectant mother ?,what
224,what is the `` 7-minute cigarette '' ?,what
225,what four forms does gold occur in ?,what
226,what is the acreage of the chappellet vineyard ?,what
227,how do you correctly say the word ` qigong ' ?,unknown
228,when did beethoven die ?,when
229,how much does a new railroad coal car cost ?,unknown
230,what two european countries entered the war of american independence against the british ?,what
231,what is the filmmakers collabrative ?,what
232,what russian composer 's prelude in c sharp minor brought him fame and fortune ?,what
233,what caused harry houdini 's death ?,what
234,"who was the mother of the man who would not be king , the duke of windsor ?",who
235,how many revolutions does a standard lp make in three minutes ?,unknown
236,what is the name of the tallest mountain in the world ?,what
237,where can i find a review of nightmare on elm street in a film journal ?,unknown
238,what 's the slowest olympic swimming stroke ?,what
239,what was the name of the first russian astronaut to do a spacewalk ?,what
240,what disease is transmitted by the anopheles mosquito ?,what
241,what rum is so `` mixable '' it is a one-brand bar ?,what
242,how many south american countries have the letter z in their names ?,unknown
243,what is the contents of proposition 98 ?,what
244,where was george washington born ?,unknown
245,"how many people on the ground were killed from the bombing of pan am flight 103 over lockerbie , scotland , december 21 , cd . ?",unknown
246,who wrote nn dt nnp nnp '' ?,who
247,what is paracetamol ?,what
248,what are the powers and weaknesses of green lantern 's ring ?,what
249,"which mosquito 's bite draws blood , dt nn cc dt nn . ?",unknown
250,when was the first steel mill in the united states built ?,when
251,what diminutive american female gymnast stole the show at the 1984 olympics ?,what
252,what is the origin of the name katie ?,what
253,"what schools in the washington , dc nn nn vbp nn nn nn nn . ?",what
254,when did the berlin wall go up ?,unknown
255,who is terrence malick ?,who
256,what instrument is ray charles best known for playing ?,what
257,"what 's the meaning of the latin battle cry : ad arma , ad arma . ?",what
258,what is the mascot for notre dame university ?,what
259,"what las vegas hotel burned in november , 1980 , with the loss of 84 lives ?",what
260,when did mount st. helen last have a significant eruption ?,when
261,cnn is the abbreviation for what ?,what
262,when did world war i start ?,when
263,how many feet are there in a fathom ?,unknown
264,what is a canada two-penny black ?,what
265,what european city do nicois live in ?,what
266,how can i find out what year a beanie baby was introduced ?,unknown
267,what is the classic definition of tragic hero ?,what
268,to what does microsoft 's windows 3 owe its success ?,what
269,who was president of afghanistan in 1994 ?,who
270,"what are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",what
271,what did brontosauruses eat ?,what
272,what color bottles do good rhine wines come in ?,what
273,who was the lead actress in the movie ` sleepless in seattle ' ?,who
274,who was the 16th president of the united states ?,who
275,who are the two sons of ozzie and harriet nelson ?,who
276,what is molybdenum ?,what
277,when is boxing day ?,what
278,what is the lowest level of the american judiciary ?,what
279,when was the battle of the somme fought ?,when
280,how many people did randy craft kill ?,unknown
281,what 's the official animal of canada ?,what
282,when did spielberg direct `` jaws '' ?,when
283,what is the size of the largest akita ?,what
284,what animal has the biggest eyes ?,what
285,what is california 's capital ?,what
286,who was the author of the book about computer hackers called `` the cuckoo 's egg : tracking a spy through the maze of computer espionage '' ?,who
287,who was the founding member of the pink floyd band ?,who
288,what european country is home to the beer-producing city of budweis ?,what
289,how do i find the balance of my social security account ?,unknown
290,what is the history of valentine 's day cards ?,what
291,where was christopher columbus born ?,unknown
292,what do italians call florence ?,what
293,how do you get to the top of the eiffel tower ?,unknown
294,what does ` psi ' stand for ?,what
295,what sea did the romans call mare nostrum ?,what
296,what 's the term for a bet before cards are dealt ?,what
297,"which came first , according to genesis 1 : 2 : 22 - the chicken or the egg ?",unknown
298,what city did the flintstones live in ?,what
299,what is latin for incompetent ?,what
300,what chemicals are used in lethal injection ?,what
301,what toy company is the world 's no.1 maker of female apparel ?,what
302,what board game does a `` wood-pusher '' play poorly ?,what
303,which doonesbury character was likely to turn into a werewolf ?,unknown
304,what is the abbreviation for micro ?,what
305,what are the 7 articles of the constitution ?,what
306,who has won the most super bowls ?,who
307,what does nasdaq stand for ?,what
308,what is bph ?,what
309,what is the fastest commercial automobile that can be bought in the us ?,what
310,what stadium do the miami dolphins play their home games in ?,what
311,who has the only speaking role in `` silent movie '' ?,who
312,why is poop sometimes different colors ?,unknown
313,what was einstein 's iq ?,what
314,what day was pearl harbor attacked in 1942 ?,what
315,what girl 's name is `` teddy '' an affectionate form of ?,what
316,what state is john f. kennedy buried in ?,what
317,what is the best way to remove wallpaper ?,what
318,what u.s. state has an element named for it ?,what
319,what company tabulates the ballots in voting for the academy awards ?,what
320,how did the tradition of best man start ?,unknown
321,how many years ago did the ship titanic sink ?,unknown
322,what is the deepest area of the arctic ocean ?,what
323,what are halloween 's colors ?,what
324,how is silk screening done ?,unknown
325,"what is the latitude and longitude of el paso , texas ?",what
326,who made a boat out of gopher wood ?,who
327,where can i find a `` fifth element '' screensaver ?,unknown
328,which bloom county resident wreaks havoc with a computer ?,unknown
329,how do you match a name to a social security number ?,unknown
330,how does a rainbow form ?,unknown
331,what is the normal resting heart rate of a healthy adult ?,what
332,what is the population of ohio ?,what
333,how many calories are there in a big mac ?,unknown
334,hazmat stands for what ?,what
335,what creature scares people in the film `` jaws '' ?,what
336,what part did john peter zenger play in the deveopment of the newspaper in america ?,what
337,who followed caesar ?,who
338,what are the four elements ?,what
339,who was the first woman golfer to earn a million ?,who
340,what 's the tallest piece on a chessboard ?,what
341,what is answers.com 's address ?,what
342,where can i buy movies on videotape online ?,unknown
343,who does the advertizing for frito-lay ?,who
344,who is the leading competitor of trans union company ?,who
345,what product did robert conrad dare people to knock off his shoulder ?,what
346,who invented the radio ?,who
347,what 's the american dollar equivalent for 8 pounds in the u.k. ?,what
348,what are the different approaches of systems analysis ?,what
349,how do doctors diagnose bone cancer ?,unknown
350,who is the man behind the pig-the man who pulls the strings and speaks for miss piggy ?,unknown
351,what is the speed of the mississippi river ?,what
352,what are the developmental stages of a swimmer ?,what
353,what actor first portrayed james bond ?,what
354,what ocean is the largest in the world ?,what
355,"who was the first american poet to win the nobel prize for literature , in 1948 ?",who
356,what year did jack nicklaus join the professional golfers association tour ?,what
357,how many sonnets did shakespeare write ?,unknown
358,what causes the redness in your cheeks when you blush ?,what
359,who won the nobel peace prize in 1991 ?,who
360,who are the challengers of the unknown ?,who
361,define the pheonix club ?,unknown
362,which city did christian crusaders fight to recapture from the muslims ?,unknown
363,what does it mean `` rupee depreciates '' ?,what
364,what gaming devices were dubbed `` mississippi marbles '' and `` memphis dominoes '' ?,what
365,who was the first coach of the cleveland browns ?,who
366,how successful is arometherapy ?,unknown
367,what jewish holiday saw the start of the 1973 mideast war ?,what
368,how does a copier work ?,unknown
369,what is the speed of the mississippi river ?,what
370,who said of super bowl iii in 1969 : `` we 'll win- i guarantee it '' ?,who
371,what is dudley do-right 's horse 's name ?,what
372,who declared : `` i am down on whores and i shan 't stop ripping them '' ?,who
373,where does chocolate come from ?,unknown
374,what tv game show once saw a contestant admit to picking his toes in the shower ?,what
375,what soviet leader owned a rolls-royce ?,what
